eV SSS FS3D NN BPFA ITKrMM wKSVD GT
526.0959990930558 958.7103510093622 952.0139186698514 973.4292529297463 943.7964913937778 935.4907421489031 942.0848739061666 924.784862134905
526.4199990940094 952.8220150641633 950.0476262319628 962.9729546068056 942.199781574448 932.9029787766374 940.6278578300971 922.0928249747972
526.7439990949631 955.2142041818897 953.365256350105 959.8143331132898 944.11609842531 935.4644100799259 943.6304445407148 927.854532325601
527.0679990959168 951.8055424078177 951.1251811594618 953.507006632605 940.7889110117833 932.061609434414 941.1048402229493 925.9454199085023
527.3919990968704 948.0493150222077 951.3188674924921 944.0547324327201 939.5169221079228 930.5582973950947 940.7191394591201 926.8033173753029
527.7159990978241 949.8365307931526 953.0306955232387 940.0688076085003 939.3227868911813 930.5978965979901 942.0233301090536 930.9728707518373
528.0399990987778 950.8831225406234 955.6765144882579 936.000310643678 940.4969987187209 931.3232511938859 944.3274379817533 934.5903535228723
528.3639990997315 951.2212308564156 955.5732475772413 927.7043738348742 937.0970121071341 928.4119852221779 943.3246007640007 939.5604512556176
528.6879991006851 953.3436700206574 957.3970268174617 929.536970302247 937.9416249306186 929.147078383418 944.6699201560061 943.8353424933854
529.0119991016388 953.732325062394 957.5702744253448 925.7607164978145 936.3530598493917 928.3332464354703 944.5308777471786 948.2537783075892
529.3359991025925 951.570240719183 955.6508277174084 920.6512448978114 934.4610320907065 926.1337985494345 943.1833380151924 948.7309580897685
529.6599991035462 950.8130265909617 955.7283552635288 920.618067555289 935.9207689818792 927.9342595029211 943.9743077093606 945.8075446866704
529.9839991044998 947.964337050768 952.9462276542619 921.3912102775723 934.2967235695638 925.7721443867656 941.5368035313328 939.6919129351037
530.3079991054535 945.1637147165137 953.9171823685846 915.4060352037231 935.6397453722069 926.3817759941542 942.4107436480397 935.9076861525084
530.6319991064072 943.8055956834622 952.037242663701 917.6155021550319 935.1410715105256 925.8134086938408 941.2288643775862 930.547888375123
530.9559991073609 940.6382985032411 949.9199066021474 919.4146556417464 935.4094722673523 924.9242984188032 940.6871654912052 924.6877305431817
531.2799991083145 939.3047325203388 952.0616386198478 916.0173772280216 937.5818173619323 926.692699934493 942.8591719041576 922.3159253474735
531.6039991092682 939.9097887139056 953.8172608789442 918.6743385584912 940.3292623179861 929.1720774570769 945.1849710308398 922.9812800774483
531.9279991102219 945.7336860790126 962.4664900499896 922.8913075429734 949.7841469133544 937.8868669210927 954.6501233302597 927.5938761507937
532.2519991111756 953.1131079062784 976.7567689608845 923.7933052112153 963.2439708050672 950.647822592058 968.7624002695721 938.1590228053552
532.5759991121292 970.4880635106164 994.2650683964226 943.5280382468395 981.1826696156132 968.9179228696231 986.7963660940095 952.5387869425762
532.8999991130829 995.1032264623435 1018.9657258082461 974.1920743957764 1006.277671890705 994.1960543832646 1011.4122134893819 975.604640748095
533.2239991140366 1025.6426654994088 1054.5867658756288 1000.3984673646007 1040.7409771512646 1028.164604225535 1046.3609383791054 1008.9432837690134
533.5479991149903 1071.2903909339875 1104.907215500303 1050.4629259437293 1090.7754318209934 1078.761047076258 1095.8995982899423 1056.4292633120317
533.8719991159439 1119.7607157894831 1158.668154825842 1100.0313713471212 1144.2413782695198 1133.7294186548947 1148.7610694103423 1106.9048179118067
534.1959991168976 1166.232666668058 1211.052348634699 1146.5858812372433 1195.9671104263277 1186.5044626595302 1199.9574359687228 1157.6804755437795
534.5199991178513 1213.7338850556055 1260.7565559686286 1203.5168954655817 1247.4972406144202 1238.839662408149 1250.194522651422 1204.298368935261
534.843999118805 1258.4776715682779 1309.1252543817434 1254.0871169701502 1296.6205445519577 1289.6250314044898 1298.0538192660556 1253.230133267836
535.1679991197586 1305.9367345236428 1357.2701851128934 1308.9203060573486 1346.1667265868823 1339.8724230676708 1345.835359497981 1301.7522885308485
535.4919991207123 1343.93725900246 1395.171894464093 1353.777652710888 1385.6882140329749 1380.6137951100052 1384.0479733300604 1338.6845458542011
535.815999121666 1370.6565786089097 1419.1826909926103 1385.7727886497287 1409.8058354842776 1406.5630759302894 1408.10947938729 1366.9611403121198
536.1399991226197 1381.1035515245878 1422.152690121658 1406.9188636480887 1414.3292121576796 1411.9253141710926 1411.5430664429007 1370.7342794018193
536.4639991235733 1367.9894041450816 1401.5868939639786 1394.481743028597 1392.3933185619537 1391.5071124771296 1390.332246658989 1357.9470762313142
536.787999124527 1332.8194194529387 1363.867557649467 1353.260791702895 1353.597238640001 1352.3698416881648 1352.4396288829446 1326.0202713634862
