GT NN eV BPFA SSS ITKrMM FS3D wKSVD
947.0 918.9980984381732 530.9559991073609 937.245062426098 940.1272117992208 925.7888870809628 943.8716191865734 937.6978570732731
914.0 916.7883937117912 531.2799991083145 940.1250785282882 939.2291696052248 927.8343607658946 946.4904568389712 940.2053093347242
968.0 917.2752967278284 531.6039991092682 942.9624707969397 940.003570977524 930.3641825745605 949.1928522537273 942.9501168132975
1008.0 923.1197040882347 531.9279991102219 951.4534071052132 945.3907853700624 938.0345715586562 957.0981049141518 951.1824632098654
963.0 926.6032362775038 532.2519991111756 964.1824729201501 954.2201332042514 950.1800072081683 970.5286832158143 964.1200416374071
1035.0 941.3374728242281 532.5759991121292 981.0009745014111 969.2693129313279 967.0237708302448 987.8062417398738 981.3234832012748
1127.0 971.6163548031433 532.8999991130829 1007.8682060110658 994.7137163365322 993.8153198401845 1014.330576412551 1007.7830390573434
1161.0 1001.8214756324002 533.2239991140366 1043.3416626740925 1026.9734469665295 1028.7729020915428 1050.3030995882195 1043.3390552429255
1141.0 1047.452987562218 533.5479991149903 1093.0044539252272 1071.8306330496282 1078.5022835950467 1099.947350943951 1092.6057033227964
1139.0 1095.3244488443079 533.8719991159439 1145.8891356772153 1119.3594112454743 1132.1318114737956 1152.8050896978336 1145.0570478313466
1136.0 1142.6023264817277 534.1959991168976 1198.1947715743097 1166.0291762503855 1185.058024456022 1204.8542850939714 1196.811087866679
1158.0 1198.7079782314272 534.5199991178513 1248.9674075412865 1213.5999193889386 1236.4885294673227 1254.5111232431302 1246.701760703019
1166.0 1250.0229448641142 534.843999118805 1299.2661709798824 1260.0186154844878 1288.10565326121 1303.8875261295261 1296.2650723081142
1204.0 1303.9905611546205 535.1679991197586 1348.3232645775884 1307.927468271069 1338.4324908955728 1352.0951410623118 1344.5324696517307
1351.0 1346.5457483634627 535.4919991207123 1386.9404882818344 1344.7481551392189 1378.0331709819422 1389.5883570315941 1382.2556989886664
1311.0 1382.0876251800314 535.815999121666 1412.325273723994 1372.7813248742348 1405.362741617215 1414.7745349284578 1407.7833350740427
1295.0 1402.19574253483 536.1399991226197 1414.803875141801 1381.7791286732195 1409.5667588765853 1416.6256908400346 1409.964563071981
1378.0 1389.9110807372392 536.4639991235733 1393.2898468450235 1368.3679136178682 1389.942205774229 1396.065610569654 1389.3985873364825
1347.0 1348.150423771597 536.787999124527 1354.8713419468847 1332.8119022161168 1351.1964263550515 1358.117266114087 1351.6452146915246
1310.0 1304.269383303498 537.1119991254807 1306.6288908545575 1290.697926079527 1302.9998619841472 1310.8373110172563 1304.4655763073931
1170.0 1246.6417903333797 537.4359991264344 1250.035848647227 1238.376339029374 1245.9414718840937 1255.0364454000935 1248.6505900625843
1199.0 1203.032073306913 537.759999127388 1201.990437306005 1195.4655718543374 1197.3919318981839 1207.359947783317 1200.888636567546
1087.0 1164.576959267152 538.0839991283417 1164.8753669213943 1162.3594668039887 1160.6055597191942 1171.5009874570692 1164.6680088148694
1007.0 1139.7857927745697 538.4079991292954 1138.6531723139308 1138.664402766441 1134.3606486134704 1145.4317337161178 1138.5301882287743
1047.0 1117.668302644396 538.731999130249 1120.9235337604666 1121.5225417957172 1116.3085715330146 1128.487709977716 1121.0417917293616
1072.0 1106.6695480522092 539.0559991312027 1111.0377282087059 1112.5503173840534 1106.4351787604535 1118.8154127406372 1111.238668168561
1077.0 1103.9158712672217 539.3799991321564 1107.738406674612 1113.4122849965418 1104.6330531896037 1117.1264121781721 1109.120175003197
1029.0 1115.9367785029917 539.7039991331101 1108.7824116636625 1120.5157559466413 1107.3013998253034 1118.9392721270783 1110.6698791272024
1025.0 1128.8828118694912 540.0279991340637 1117.2845478774666 1130.183528021392 1116.374068753221 1127.398288300335 1118.8379730940026
1125.0 1151.196657381522 540.3519991350174 1132.5177836666535 1147.7035514770782 1132.973266569762 1142.2651607167293 1133.7437918177309
1087.0 1173.030564120804 540.6759991359711 1155.9147357814418 1169.6056861959821 1157.093745175389 1165.6070945314668 1156.9109512858572
1239.0 1211.2602251039186 540.9999991369248 1184.643606288112 1198.684401556918 1187.3152880136238 1193.2352561767082 1184.5613037965886
1178.0 1244.4454486001405 541.3239991378784 1216.395523701077 1228.7937398952856 1219.9446377053596 1224.7615199647507 1216.0399000391849
