x   y   c
0.0177827941 316.2277660168 0.0000000000
0.0177827941 562.3413251903 0.0000000000
0.0177827941 1000.0000000000 0.0000000000
0.0316227766 0.0000100000 -2.8862225999
0.0316227766 0.0000177828 -2.8863600981
0.0316227766 0.0000316228 -2.8866043898
0.0316227766 0.0000562341 -2.8870381183
0.0316227766 0.0001000000 -2.8878072306
0.0316227766 0.0001778279 -2.8891680683
0.0316227766 0.0003162278 -2.8915665063
0.0316227766 0.0005623413 -2.8957647351
0.0316227766 0.0010000000 -2.9022482427
0.0316227766 0.0017782794 -2.9136336227
0.0316227766 0.0031622777 -2.9327317582
0.0316227766 0.0056234133 -2.9647132234
0.0316227766 0.0100000000 -3.0057232511
0.0316227766 0.0177827941 -2.9746055800
0.0316227766 0.0316227766 -3.0012774114
0.0316227766 0.0562341325 -2.9424894416
0.0316227766 0.1000000000 -2.7499037229
0.0316227766 0.1778279410 -2.7048883743
0.0316227766 0.3162277660 -2.5410814556
0.0316227766 0.5623413252 -2.1794428794
0.0316227766 1.0000000000 -1.8223195301
0.0316227766 1.7782794100 -1.4609215171
0.0316227766 3.1622776602 -1.0547693828
0.0316227766 5.6234132519 -0.7083979353
0.0316227766 10.0000000000 -0.4464459666
0.0316227766 17.7827941004 -0.2853717293
0.0316227766 31.6227766017 -0.1888389438
0.0316227766 56.2341325190 -0.1352393299
0.0316227766 100.0000000000 -0.0936439878
0.0316227766 177.8279410039 -0.0489174784
0.0316227766 316.2277660168 0.0000000000
0.0316227766 562.3413251903 0.0000000000
0.0316227766 1000.0000000000 0.0000000000
0.0562341325 0.0000100000 -2.9226486108
0.0562341325 0.0000177828 -2.9227369651
0.0562341325 0.0000316228 -2.9228940079
0.0562341325 0.0000562341 -2.9231730344
0.0562341325 0.0001000000 -2.9236684656
0.0562341325 0.0001778279 -2.9245470991
0.0562341325 0.0003162278 -2.9261020728
0.0562341325 0.0005623413 -2.9281366675
0.0562341325 0.0010000000 -2.9329508469
0.0562341325 0.0017782794 -2.9412835328
0.0562341325 0.0031622777 -2.9545380271
0.0562341325 0.0056234133 -2.9779116149
0.0562341325 0.0100000000 -3.0130189649
0.0562341325 0.0177827941 -3.0578252559
0.0562341325 0.0316227766 -3.0374994120
0.0562341325 0.0562341325 -3.0606708427
0.0562341325 0.1000000000 -3.0122166472
0.0562341325 0.1778279410 -2.7983449550
0.0562341325 0.3162277660 -2.7134803253
0.0562341325 0.5623413252 -2.5027010649
0.0562341325 1.0000000000 -2.2181695471
0.0562341325 1.7782794100 -1.8075586037
0.0562341325 3.1622776602 -1.4128911897
0.0562341325 5.6234132519 -1.0151248487
0.0562341325 10.0000000000 -0.6697404191
0.0562341325 17.7827941004 -0.4100588113
0.0562341325 31.6227766017 -0.2448765236
0.0562341325 56.2341325190 -0.1560973477
0.0562341325 100.0000000000 -0.0990858457
0.0562341325 177.8279410039 -0.0478080914
0.0562341325 316.2277660168 0.0000000000
0.0562341325 562.3413251903 0.0000000000
0.0562341325 1000.0000000000 0.0000000000
0.1000000000 0.0000100000 -2.9645197598
0.1000000000 0.0000177828 -2.9645787999
0.1000000000 0.0000316228 -2.9646837640
0.1000000000 0.0000562341 -2.9648703383
0.1000000000 0.0001000000 -2.9652018634
0.1000000000 0.0001778279 -2.9657905999
0.1000000000 0.0003162278 -2.9668349952
0.1000000000 0.0005623413 -2.9686842500
0.1000000000 0.0010000000 -2.9712115513
0.1000000000 0.0017782794 -2.9769352396
0.1000000000 0.0031622777 -2.9868688925
0.1000000000 0.0056234133 -3.0038214237
0.1000000000 0.0100000000 -3.0318028442
0.1000000000 0.0177827941 -3.0729245006
0.1000000000 0.0316227766 -3.1214645324
0.1000000000 0.0562341325 -3.1158887756
0.1000000000 0.1000000000 -3.1314674048
0.1000000000 0.1778279410 -2.8659672928
0.1000000000 0.3162277660 -2.8174319440
0.1000000000 0.5623413252 -2.6751062239
0.1000000000 1.0000000000 -2.4012903377
0.1000000000 1.7782794100 -2.1928904031
0.1000000000 3.1622776602 -1.8090788117
0.1000000000 5.6234132519 -1.3708148609
0.1000000000 10.0000000000 -0.9436910771
0.1000000000 17.7827941004 -0.5878150287
0.1000000000 31.6227766017 -0.3332183873
0.1000000000 56.2341325190 -0.1880003613
0.1000000000 100.0000000000 -0.1075467881
0.1000000000 177.8279410039 -0.0456829842
0.1000000000 316.2277660168 0.0000000000
0.1000000000 562.3413251903 0.0000000000
0.1000000000 1000.0000000000 0.0000000000
0.1778279410 0.0000100000 -3.0071614469
0.1778279410 0.0000177828 -3.0072019000
0.1778279410 0.0000316228 -3.0072738278
0.1778279410 0.0000562341 -3.0074017069
0.1778279410 0.0001000000 -3.0076290210
0.1778279410 0.0001778279 -3.0080329621
0.1778279410 0.0003162278 -3.0087503753
0.1778279410 0.0005623413 -3.0100232677
0.1778279410 0.0010000000 -3.0122777469
0.1778279410 0.0017782794 -3.0162580409
0.1778279410 0.0031622777 -3.0232440862
0.1778279410 0.0056234133 -3.0353669669
0.1778279410 0.0100000000 -3.0559064479
0.1778279410 0.0177827941 -3.0875894774
0.1778279410 0.0316227766 -3.1330830534
0.1778279410 0.0562341325 -3.1846464014
0.1778279410 0.1000000000 -3.1845959281
0.1778279410 0.1778279410 -3.1843998951
0.1778279410 0.3162277660 -2.8707921133
0.1778279410 0.5623413252 -2.7748347825
0.1778279410 1.0000000000 -2.5689850783
0.1778279410 1.7782794100 -2.3018315095
0.1778279410 3.1622776602 -2.0130515861
0.1778279410 5.6234132519 -1.8866500732
0.1778279410 10.0000000000 -1.2347888583
0.1778279410 17.7827941004 -0.8051144749
0.1778279410 31.6227766017 -0.4613995264
0.1778279410 56.2341325190 -0.2329855460
0.1778279410 100.0000000000 -0.1149362109
0.1778279410 177.8279410039 -0.0417845799
0.1778279410 316.2277660168 0.0000000000
0.1778279410 562.3413251903 0.0000000000
0.1778279410 1000.0000000000 0.0000000000
0.3162277660 0.0000100000 -3.0671567526
0.3162277660 0.0000177828 -3.0671846572
0.3162277660 0.0000316228 -3.0672342734
0.3162277660 0.0000562341 -3.0673224866
