x   y   c
3.1622776602 0.0177827941 26.7716485660
3.1622776602 0.0316227766 26.7863612120
3.1622776602 0.0562341325 26.8075071450
3.1622776602 0.1000000000 25.6362697160
3.1622776602 0.1778279410 26.3487807490
3.1622776602 0.3162277660 25.7214413290
3.1622776602 0.5623413252 26.5206456340
3.1622776602 1.0000000000 22.8176280430
3.1622776602 1.7782794100 21.9511029670
3.1622776602 3.1622776602 20.5769006320
3.1622776602 5.6234132519 18.4936236940
3.1622776602 10.0000000000 20.4267186890
3.1622776602 17.7827941004 13.9490852360
3.1622776602 31.6227766017 10.1739758700
3.1622776602 56.2341325190 5.4738724800
3.1622776602 100.0000000000 1.2024831640
3.1622776602 177.8279410039 0.0965275480
3.1622776602 316.2277660168 -0.0000000000
3.1622776602 562.3413251903 -0.0000000000
3.1622776602 1000.0000000000 -0.0000000000
5.6234132519 0.0000100000 24.9192133740
5.6234132519 0.0000177828 24.9192141690
5.6234132519 0.0000316228 24.9192155810
5.6234132519 0.0000562341 24.9192180920
5.6234132519 0.0001000000 24.9192225490
5.6234132519 0.0001778279 24.9192304530
5.6234132519 0.0003162278 24.9192444420
5.6234132519 0.0005623413 24.9192691060
5.6234132519 0.0010000000 24.9193123100
5.6234132519 0.0017782794 24.9193871450
5.6234132519 0.0031622777 24.9195143500
5.6234132519 0.0056234133 24.9197242770
5.6234132519 0.0100000000 24.9200574830
5.6234132519 0.0177827941 25.0741088910
5.6234132519 0.0316227766 25.0799039230
5.6234132519 0.0562341325 24.7758936810
5.6234132519 0.1000000000 22.5674273470
5.6234132519 0.1778279410 24.9932167240
5.6234132519 0.3162277660 24.8277156380
5.6234132519 0.5623413252 24.6821672020
5.6234132519 1.0000000000 23.9165236140
5.6234132519 1.7782794100 23.7862793430
5.6234132519 3.1622776602 22.3100620240
5.6234132519 5.6234132519 20.3081886760
5.6234132519 10.0000000000 20.0748972210
5.6234132519 17.7827941004 14.5923503590
5.6234132519 31.6227766017 10.2720511910
5.6234132519 56.2341325190 6.6456656300
5.6234132519 100.0000000000 1.2200416910
5.6234132519 177.8279410039 0.0647392400
5.6234132519 316.2277660168 -0.0000000000
5.6234132519 562.3413251903 -0.0000000000
5.6234132519 1000.0000000000 -0.0000000000
10.0000000000 0.0000100000 23.5584437520
